StockCode,AvgDailyDemand,StdDailyDemand,MaxDailyDemand,TotalDemand,AvgDailyRev,TotalRevenue,DaysActive,Description,Price,SafetyStock,ReorderPoint,AnnualDemand,UnitHoldingCost,EOQ,ReorderFrequency,StockStatus
10002R,1.3333333333333333,0.5773502691896257,2,4,6.8566666666666665,20.57,3,ROBOT PENCIL SHARPNER,5.17,3.0,12.0,487.0,1.034,217.0,163.0,Slow Mover
10123C,11.607142857142858,29.654788711209758,144,650,4.543035714285715,254.41000000000003,56,HEARTS WRAPPING TAPE ,1.3,129.0,210.0,4237.0,0.26,1277.0,110.0,Medium Mover
10123G,3.3076923076923075,3.750213669126409,12,43,2.5446153846153843,33.08,13,ARMY CAMO WRAPPING TAPE,1.7,16.0,39.0,1207.0,0.34,596.0,180.0,Slow Mover
10124A,3.2222222222222223,1.9570552775732024,9,58,1.3533333333333333,24.36,18,SPOTS ON RED BOOKCOVER TAPE,0.42,9.0,32.0,1176.0,0.084,1183.0,367.0,Slow Mover
10124G,3.3,1.4944341180973264,5,33,1.428,14.28,10,ARMY CAMO BOOKCOVER TAPE,0.84,7.0,30.0,1204.0,0.168,847.0,257.0,Slow Mover
15044A,7.746031746031746,18.20156199805938,206,1464,22.676455026455027,4285.85,189,PINK PAPER PARASOL ,2.95,79.0,133.0,2827.0,0.5900000000000001,692.0,89.0,Medium Mover
15044B,11.133333333333333,43.26656359970213,506,1670,30.960866666666668,4644.13,150,BLUE PAPER PARASOL ,2.95,189.0,267.0,4064.0,0.5900000000000001,830.0,75.0,Medium Mover
15044C,5.342541436464089,8.511026322411032,52,967,16.725193370165748,3027.26,181,PURPLE PAPER PARASOL,6.04,37.0,74.0,1950.0,1.2080000000000002,402.0,75.0,Medium Mover
15044D,8.817679558011049,15.147970789187571,102,1596,25.1914364640884,4559.650000000001,181,RED PAPER PARASOL,6.04,66.0,128.0,3218.0,1.2080000000000002,516.0,59.0,Medium Mover
15056BL,22.2576112412178,62.30704793560239,663,9504,110.69660421545667,47267.45,427,EDWARDIAN PARASOL BLACK,5.95,272.0,428.0,8124.0,1.1900000000000002,826.0,37.0,Fast Mover
15056N,23.76,55.88887859900976,618,11286,122.05357894736844,57975.450000000004,475,EDWARDIAN PARASOL NATURAL,5.95,244.0,410.0,8672.0,1.1900000000000002,854.0,36.0,Fast Mover
15056P,9.736220472440944,39.62309217968803,600,2473,48.14535433070866,12228.92,254,EDWARDIAN PARASOL PINK,5.95,173.0,241.0,3554.0,1.1900000000000002,546.0,56.0,Medium Mover
15056bl,1.8709677419354838,1.1377843145707986,6,116,23.48903225806452,1456.3200000000002,62,EDWARDIAN PARASOL BLACK,13.0,5.0,18.0,683.0,2.6,162.0,87.0,Slow Mover
15056n,2.582089552238806,2.2234920237629985,11,173,32.39402985074627,2170.4,67,EDWARDIAN PARASOL NATURAL,12.72,10.0,28.0,942.0,2.5440000000000005,192.0,74.0,Slow Mover
15056p,1.393939393939394,0.7881701093115122,4,46,17.51030303030303,577.84,33,EDWARDIAN PARASOL PINK,12.72,3.0,13.0,509.0,2.5440000000000005,141.0,101.0,Slow Mover
15058A,4.407407407407407,5.33553952292477,30,476,29.201203703703705,3153.73,108,BLUE WHITE SPOTS GARDEN PARASOL,7.95,23.0,54.0,1609.0,1.59,318.0,72.0,Slow Mover
15058B,3.8761061946902653,4.9589974925864935,33,438,29.448407079646017,3327.67,113,PINK WHITE SPOTS GARDEN PARASOL,25.49,22.0,49.0,1415.0,5.098,167.0,43.0,Slow Mover
15058C,4.653465346534653,6.763779481272812,32,470,27.26455445544554,2753.72,101,ICE CREAM DESIGN GARDEN PARASOL,7.95,30.0,63.0,1699.0,1.59,327.0,70.0,Slow Mover
15059A,169.66666666666666,290.4071854023818,505,509,522.3333333333334,1567.0,3,ENGLISH ROSE EDWARDIAN PARASOL,13.0,1268.0,2456.0,61928.0,2.6,1543.0,9.0,High Velocity
15060B,4.859106529209622,6.184860093112132,61,1414,22.14769759450172,6444.9800000000005,291,FAIRY CAKE DESIGN UMBRELLA,3.75,27.0,61.0,1774.0,0.75,486.0,100.0,Slow Mover
15060b,1.0,0.0,1,5,8.362,41.81,5,FAIRY CAKE DESIGN UMBRELLA,8.47,0.0,7.0,365.0,1.6940000000000002,147.0,147.0,Slow Mover
16020C,4.705882352941177,5.323073911240348,27,160,3.9558823529411766,134.5,34,CLEAR STATIONERY BOX SET ,0.85,23.0,56.0,1718.0,0.17,1005.0,214.0,Slow Mover
16151A,10.4,18.256505689753446,43,52,14.5,72.5,5,FLOWER DES BLUE HANDBAG/ORANG HANDL,3.75,80.0,153.0,3796.0,0.75,711.0,68.0,Medium Mover
16156L,27.941176470588236,10.23346019999512,75,950,11.735294117647058,399.0,34,"WRAP, CAROUSEL",0.42,45.0,241.0,10199.0,0.084,3484.0,125.0,Fast Mover
16156N,31.382978723404257,12.189719816106917,75,1475,13.180851063829786,619.5,47,"WRAP, FRIENDSHIP ON GREEN",0.42,53.0,273.0,11455.0,0.084,3693.0,118.0,Fast Mover
16156S,58.87279151943463,81.09501957787428,625,16661,23.175335689045937,6558.62,283,WRAP PINK FAIRY CAKES ,0.42,354.0,766.0,21489.0,0.084,5058.0,86.0,High Velocity
16161C,225.0,176.7766952966369,350,450,22.5,45.0,2,WRAP SPEED DEMONS ,0.1,772.0,2347.0,82125.0,0.020000000000000004,20264.0,90.0,High Velocity
16161E,107.14285714285714,185.24436884957174,525,750,10.714285714285714,75.0,7,WRAP BOUDOIR ,0.1,809.0,1559.0,39107.0,0.020000000000000004,13983.0,131.0,High Velocity
16161G,30.46875,15.20607767924052,100,975,3.046875,97.5,32,WRAP BAD HAIR DAY,0.1,66.0,279.0,11121.0,0.020000000000000004,7457.0,245.0,Fast Mover
16161M,28.37837837837838,10.478420553561367,75,1050,11.864864864864865,439.0,37,WRAP  PINK FLOCK,0.42,46.0,245.0,10358.0,0.084,3512.0,124.0,Fast Mover
16161P,46.63604240282685,44.10888816879833,450,13198,19.20636042402827,5435.4,283,WRAP ENGLISH ROSE ,0.42,193.0,519.0,17022.0,0.084,4502.0,97.0,Fast Mover
16161U,41.429752066115704,53.974840680582744,525,10026,16.8798347107438,4084.92,242,"WRAP,SUKI AND FRIENDS",0.42,236.0,526.0,15122.0,0.084,4243.0,102.0,Fast Mover
16162L,26.652173913043477,66.79113216564292,291,613,8.52304347826087,196.03,23,THE KING GIFT BAG,0.19,292.0,479.0,9728.0,0.038000000000000006,5060.0,190.0,Fast Mover
16162M,7.333333333333333,4.313474308032982,12,88,3.08,36.96,12,THE KING GIFT BAG 25x24x12cm,0.42,19.0,70.0,2677.0,0.084,1785.0,243.0,Medium Mover
16168M,18.9438202247191,41.29614761654305,288,1686,5.757078651685394,512.38,89,FUNKY MONKEY GIFT BAG MEDIUM,0.21,180.0,313.0,6914.0,0.042,4057.0,214.0,Medium Mover
16168S,142.55555555555554,230.42249841926846,648,1283,14.09222222222222,126.82999999999998,9,FUNKY MONKEY GIFT BAG SMALL,0.29,1006.0,2004.0,52033.0,0.057999999999999996,9472.0,66.0,High Velocity
16169A,25.0,0.0,25,25,10.5,10.5,1,WRAP CHRISTMAS DECOUPAGE,0.42,0.0,175.0,9125.0,0.084,3296.0,132.0,Fast Mover
16169C,42.1875,27.995895436480016,125,1350,17.71875,567.0,32,WRAP BLUE REINDEER,0.42,122.0,417.0,15398.0,0.084,4281.0,101.0,Fast Mover
16169D,50.0,25.0,75,250,21.0,105.0,5,WRAP WINTER FOREST,0.42,109.0,459.0,18250.0,0.084,4661.0,93.0,Fast Mover
16169E,54.975903614457835,49.53318077459929,275,4563,22.800722891566267,1892.46,83,WRAP 50'S  CHRISTMAS,0.42,216.0,601.0,20066.0,0.084,4888.0,89.0,High Velocity
16169F,37.5,17.67766952966369,75,975,15.75,409.5,26,WRAP BLIZZARD,0.42,77.0,340.0,13688.0,0.084,4037.0,108.0,Fast Mover
16169G,25.0,0.0,25,25,10.5,10.5,1,WRAP ROMANTIC DECOUPAGE,0.42,0.0,175.0,9125.0,0.084,3296.0,132.0,Fast Mover
16169K,39.90384615384615,69.70871034987331,525,2075,12.66826923076923,658.75,52,WRAP FOLK ART,0.42,304.0,583.0,14565.0,0.084,4164.0,104.0,Fast Mover
16169M,38.148148148148145,64.72216598732496,500,2060,11.869444444444445,640.95,54,WRAP DAISY CARPET ,0.42,283.0,550.0,13924.0,0.084,4071.0,107.0,Fast Mover
16169N,41.326530612244895,78.48683216393212,575,2025,12.78061224489796,626.25,49,WRAP BLUE RUSSIAN FOLKART,0.42,343.0,632.0,15084.0,0.084,4238.0,103.0,Fast Mover
16169P,38.04347826086956,70.06725547540073,500,1750,11.603260869565217,533.75,46,WRAP GREEN RUSSIAN FOLKART ,0.42,306.0,572.0,13886.0,0.084,4066.0,107.0,Fast Mover
16201A,14.428571428571429,12.12239171749457,36,101,30.481428571428573,213.37,7,PASTEL PINK PHOTO ALBUM,1.95,53.0,154.0,5266.0,0.39,1162.0,81.0,Medium Mover
16201B,8.5,10.472185381603339,24,34,20.275,81.1,4,PASTEL BLUE PHOTO ALBUM,1.95,46.0,106.0,3102.0,0.39,892.0,105.0,Medium Mover
16202A,31.523809523809526,89.33622951950628,300,662,13.83095238095238,290.45,21,PASTEL PINK PHOTO ALBUM ,12.13,390.0,611.0,11506.0,2.426,689.0,22.0,Fast Mover
16202B,47.22727272727273,128.71264851383444,444,1039,24.025454545454544,528.56,22,PASTEL BLUE PHOTO ALBUM ,5.55,562.0,893.0,17238.0,1.11,1246.0,26.0,Fast Mover
16202C,8.083333333333334,8.184889995743635,28,97,19.215833333333332,230.59,12,BEIGE PHOTO ALBUM,1.95,36.0,93.0,2950.0,0.39,870.0,108.0,Medium Mover
16202E,5.857142857142857,5.274862635574108,12,82,11.623571428571427,162.73,14,BLACK PHOTO ALBUM ,1.95,23.0,64.0,2138.0,0.39,740.0,126.0,Medium Mover
16206B,6.4,6.299659854763136,24,96,7.760000000000001,116.4,15,RED PURSE WITH PINK HEART,1.25,28.0,73.0,2336.0,0.25,967.0,151.0,Medium Mover
16207A,2.1343283582089554,1.650486818799869,8,143,6.32134328358209,423.53000000000003,67,PINK STRAWBERRY HANDBAG ,2.95,7.0,22.0,779.0,0.5900000000000001,363.0,170.0,Slow Mover
16207B,8.833333333333334,23.587084913414873,120,265,15.254999999999999,457.65,30,PINK HEART RED HANDBAG,1.25,103.0,165.0,3224.0,0.25,1136.0,129.0,Medium Mover
